code,name,score,weight
688227,品高股份,3.9829551579179014,0.02
605365,立达信,3.6678408443241746,0.02
688502,茂莱光学,3.3815963162778804,0.02
688802,沐曦股份,3.3628596125859573,0.02
688375,国博电子,3.280832935239846,0.02
001234,泰慕士,3.266856176146143,0.02
002294,信立泰,3.265563863967186,0.02
603444,吉比特,3.243030681400136,0.02
600668,尖峰集团,3.218916447622242,0.02
300347,泰格医药,3.1946382690595088,0.02
301345,涛涛车业,3.147947776567168,0.02
300435,中泰股份,3.129031676794003,0.02
688552,航天南湖,3.1101573051954627,0.02
600478,科力远,3.0833354571912364,0.02
002092,中泰化学,3.063243040915458,0.02
002923,润都股份,3.008983098343898,0.02
600645,中源协和,3.006273952693113,0.02
688084,晶品特装,2.997493190246142,0.02
600746,江苏索普,2.9932364281806487,0.02
603200,上海洗霸,2.9620720976704966,0.02
600808,马钢股份,2.9461805806592696,0.02
002455,百川股份,2.9371581327845298,0.02
688356,键凯科技,2.9294393013777453,0.02
600470,六国化工,2.9218047967394525,0.02
002676,顺威股份,2.919281452122374,0.02
600328,中盐化工,2.906936694367394,0.02
001325,元创股份,2.8701084989252545,0.02
603202,天有为,2.8657822158856048,0.02
300871,回盛生物,2.864805473105176,0.02
688656,XD浩欧博,2.8614011394652143,0.02
000912,泸天化,2.854836432948177,0.02
605118,力鼎光电,2.8401252087778293,0.02
600773,西藏城投,2.833489954704603,0.02
000059,华锦股份,2.8329508562724457,0.02
600810,神马股份,2.82412833289401,0.02
688212,澳华内镜,2.8224186730970184,0.02
603585,苏利股份,2.8073177809015597,0.02
600227,赤天化,2.806375734850094,0.02
300437,清水源,2.8044356851902656,0.02
002556,辉隆股份,2.804352912211596,0.02
688013,天臣医疗,2.7953845140303613,0.02
002427,尤夫股份,2.781041764351915,0.02
688373,盟科药业,2.7798597658799236,0.02
002312,川发龙蟒,2.771969395620135,0.02
301257,普蕊斯,2.7689958238942247,0.02
301391,卡莱特,2.763180171385444,0.02
688196,卓越新能,2.756222820363737,0.02
600230,沧州大化,2.755782384719724,0.02
603101,汇嘉时代,2.7423768748461193,0.02
301556,托普云农,2.733112600996261,0.02
