code,name,score,weight
301005,超捷股份,4.505193242564059,0.02
688227,品高股份,3.692787507516819,0.02
605365,立达信,3.4066906750153922,0.02
688375,国博电子,3.2687295685299276,0.02
301268,铭利达,3.24978870253086,0.02
603444,吉比特,3.15488735443889,0.02
002342,巨力索具,3.093354545016421,0.02
688502,茂莱光学,3.071205677643298,0.02
301391,卡莱特,3.067820067762198,0.02
301035,润丰股份,3.0602291903365035,0.02
300347,泰格医药,3.0481458605135683,0.02
600645,中源协和,3.036220709515921,0.02
688802,沐曦股份,3.0312566839271593,0.02
002738,中矿资源,3.0304160401271005,0.02
600668,尖峰集团,3.029310892750068,0.02
300435,中泰股份,3.011136557671748,0.02
603200,上海洗霸,2.995155337668093,0.02
688552,航天南湖,2.980194735553067,0.02
002318,久立特材,2.9560662245745664,0.02
301592,六九一二,2.952084987974718,0.02
600478,科力远,2.9472584949729184,0.02
688575,亚辉龙,2.933391886631468,0.02
300427,红相股份,2.931856574344838,0.02
688084,晶品特装,2.9298998162365466,0.02
600808,马钢股份,2.921993152559298,0.02
002092,中泰化学,2.9060412583715727,0.02
688656,浩欧博,2.888402859106644,0.02
688356,键凯科技,2.885707439083121,0.02
603202,天有为,2.866852207164662,0.02
600746,江苏索普,2.8609172983314304,0.02
688373,盟科药业,2.8588866454264714,0.02
600810,神马股份,2.8415963657969905,0.02
301257,普蕊斯,2.837541616567887,0.02
002548,金新农,2.8156019087734676,0.02
603036,如通股份,2.7987874087893325,0.02
600773,西藏城投,2.778801851126718,0.02
688013,天臣医疗,2.7720125551459804,0.02
301326,捷邦科技,2.769448772359592,0.02
600328,中盐化工,2.76838157001744,0.02
001325,元创股份,2.766417786723382,0.02
300505,川金诺,2.7648028327607004,0.02
600470,六国化工,2.7609515338407395,0.02
002756,永兴材料,2.758760058290999,0.02
300300,海峡创新,2.753270700155175,0.02
688196,卓越新能,2.740877873410781,0.02
600316,洪都航空,2.7269081354551905,0.02
000592,平潭发展,2.7249743235757733,0.02
300290,荣科科技,2.717868456418313,0.02
002312,川发龙蟒,2.715700787863632,0.02
301509,金凯生科,2.709708722718852,0.02
